"","WLS1","WLS2","WLS3"
"Durante a realização de uma tarefa costumo me distrair com estímulos.",0.803273689337585,-0.0048160427729372,0.0343560720990517
"Me distraio facilmente.",0.799304642519661,0.0275602927171258,-0.0189550151893803
"Costumo interromper a realização de uma atividade muitas vezes.",0.771048448601085,0.04201249016883,0.0338366071002138
"Tenho dificuldade em terminar o que começo.",0.67526613539756,0.0366159723761,-0.121591122041352
"Costumo começar atividades novas sem ter concluído outras.",0.640742610452594,0.150591267570629,0.0271393568199532
"Costumo realizar minhas atividades sem perder o foco.",-0.637884420740951,0.131976742871454,0.25524091776369
"Preciso de um retorno imediato para me sentir realizado com algo.",0.319455593058565,0.237061721099184,-0.047515100995333
"Tomo decisões rapidamente, sem parar para pensar muito.",-0.026476755952154,0.730241699491782,-0.116726762227614
"Frequentemente tomo decisões sem pensar.",0.254834664892519,0.585303373750556,-0.230947179040332
"Costumo conversar de forma rápida e sem tanta preocupação com o que direi em seguida.",0.104724356936111,0.534562547681926,0.052322347488453
"Sou frequentemente repreendido por falar o que não deveria.",0.207366261844199,0.488972354104935,-0.0398106703449492
"Costumo concordar em realizar atividades radicais mesmo sem ter cogitado ou planejado com antecedência.",0.164317480088354,0.45793535849163,0.0764019964165
"Consigo executar certas tarefas mais rápido que a maioria das pessoas.",-0.144301285614135,0.441709800487758,0.436537759580883
"Tendo a agir sem pensar quando preciso tomar uma decisão durante um momento crítico.",0.213535469871215,0.430023967703257,-0.211657271425261
"Costumo ser aberto(a) a viver aventuras e situações que fogem da rotina.",0.191435293694956,0.416352920456984,0.21856038799732
"Costumo buscar fazer atividades que nunca fiz pela primeira vez.",0.0668405504474803,0.381669121001649,0.321194909423053
"Frequentemente digo coisas das quais me arrependo logo em seguida.",0.36006370879711,0.381360793455435,-0.0154893816663907
"Em conversas com amigos, penso antes de falar.",-0.0304437260595301,-0.340344599988556,0.217682653483942
"Quando falo algo fora do tom, só percebo depois",0.190551897914184,0.337075084684982,0.00674376836076324
"Quando estou irritado(a), não consigo controlar minha raiva.",0.195629306093799,0.296491012479654,-0.0688497656339956
"Prefiro seguir uma rotina mais livre, sem muita organização e cronogramas.",0.0502284977491924,0.286707345936195,-0.274150420222281
"Penso antecipadamente sobre o que fazer para atingir meus objetivos.",-0.0029944954918272,-0.144369071486062,0.599809548404122
"Consigo me planejar a longo prazo.",-0.0874524450999169,-0.137192102798056,0.583419562075796
"Costumo criar roteiros para viagens ou atividades de lazer.",0.183205896429938,0.0158056003291295,0.571485116113063
"Antes de tomar uma decisão, analiso a situação cuidadosamente.",0.0647341885663919,-0.401869911507249,0.544268784011488
"Tenho o hábito de construir listas de tarefas.",0.160231036265885,-0.141659724345593,0.519380607420348
"Em situação de problema, costumo dar uma boa solução mais rápido que a maioria.",-0.176705212617648,0.428017316767289,0.478251627979171
"Sinto orgulho da minha capacidade de pensar e agir rapidamente em certas situações.",-0.262998440666514,0.424050742108186,0.447341327696331
"Consigo me atentar aos detalhes quando realizo uma tarefa.",-0.193346244567149,0.0245844395669726,0.426355402449004
"Costumo fazer lista de compras para ir ao supermercado.",0.148861536784004,-0.14270809551866,0.422640880198104
"Sigo planejamentos e cronogramas à risca, mesmo que ainda se mostre distante do resultado final.",-0.106012031709595,-0.0105016288852338,0.414525874090696
